query_id,average_precision
1,0.19668432343100828
2,0.18392717626159505
3,0.1981051990042933
4,0.15168435796120205
5,0.26175155083842433
6,0.22286251024670678
7,0.2103293148724037
8,0.046373384424537284
9,0.23308335039431743
10,0.27896335949366
11,0.5338266530617355
12,0.019590943482234963
13,0.24396892764747433
14,0.18949022735347146
15,0.25354669213796804
16,0.2515724036632324
17,0.14071826626396283
18,0.5003206971674159
19,0.06275591747864473
20,0.5736508816434638
21,0.27973865828702915
22,0.26270089274216635
23,0.04429112913048995
24,0.11688334602890443
25,0.252619107056651
26,0.2844446032286029
27,0.20154706965224925
28,0.1740394724999117
29,0.14086283708241773
30,0.23449760712391313
31,0.26121937765187797
32,0.11826876084078324
33,0.43540754218622574
34,0.33533892603005855
35,0.2549098659125199
36,0.14734039582467398
37,0.4709738730692446
38,0.22769100213425678
39,0.33837746844087563
40,0.19009024399980942
41,0.20334707841527594
42,0.257886540017832
43,0.4059686648785607
44,0.4002465090865222
45,0.2734839552999796
46,0.27439125584792284
47,0.10241939441047275
48,0.14381512677680225
49,0.4069927345531674
50,0.2764905731675321
51,0.42597639803773985
52,0.5285714285714286
53,0.3257798387178902
54,0.39149893706101885
55,0.06892541937015355
56,0.13608279649238028
57,0.4847246364475422
58,0.36801810760126247
59,0.2085398252711879
60,0.0739410649608
61,0.34298793114957754
62,0.21521106899362769
63,0.14432698958748377
64,0.10550924371585094
65,0.18567536963289574
66,0.14795601365551156
67,0.1772344425068036
68,0.16343057796410387
69,0.35999353611434437
70,0.3409805575468745
71,0.40315244618682194
72,0.422127480879953
73,0.33001570419802545
74,0.277435322672314
75,0.34322826799634626
76,0.30179591309435266
77,0.0833165948750026
78,0.20871840116753543
79,0.1905029752100868
80,0.27602050276163387
81,0.264571407019085
82,0.2541923436262458
83,0.2437213246816572
84,0.5093849916283392
85,0.10572906031586708
86,0.2625479243360952
87,0.09782696996425483
88,0.1463532751109515
89,0.43868744231152856
90,0.6012150093423386
91,0.27929317160176015
92,0.31566235453647173
94,0.2705380116858411
95,0.29128512699516806
96,0.27814842312198007
97,0.40893236937350463
98,0.2140487460247456
99,0.6043483086590509
100,0.2939558128387201
